orthographe	phonetique
encastrerez	a~kastR@Re
encastreriez	a~kastR@Rje
encastrerions	a~kastR@Rjo~
encastrerons	a~kastR@Ro~
encastreront	a~kastR@Ro~
encastres	a~kastR
encastrez	a~kastRe
encastriez	a~kastRije
encastrions	a~kastRijo~
encastrons	a~kastRo~
encastrâmes	a~kastRam
encastrât	a~kastRa
encastrâtes	a~kastRat
encastrèrent	a~kastRER
encastré	a~kastRe
encastrée	a~kastRe
encastrées	a~kastRe
encastrés	a~kastRe
encaustiqua	a~kostika
encaustiquai	a~kostike
encaustiquaient	a~kostikE
encaustiquais	a~kostikE
encaustiquait	a~kostikE
encaustiquant	a~kostika~
encaustiquas	a~kostika
encaustiquasse	a~kostikas
encaustiquassent	a~kostikas
encaustiquasses	a~kostikas
encaustiquassiez	a~kostikasje
encaustiquassions	a~kostikasjo~
encaustique	a~kostik
encaustiquent	a~kostik
encaustiquer	a~kostike
encaustiquera	a~kostik@Ra
encaustiquerai	a~kostik@Re
encaustiqueraient	a~kostik@RE
encaustiquerais	a~kostik@RE
encaustiquerait	a~kostik@RE
encaustiqueras	a~kostik@Ra
encaustiquerez	a~kostik@Re
encaustiqueriez	a~kostik@Rje
encaustiquerions	a~kostik@Rjo~
encaustiquerons	a~kostik@Ro~
encaustiqueront	a~kostik@Ro~
encaustiques	a~kostik
encaustiquez	a~kostike
encaustiquiez	a~kostikje
encaustiquions	a~kostikjo~
encaustiquons	a~kostiko~
encaustiquâmes	a~kostikam
encaustiquât	a~kostika
encaustiquâtes	a~kostikat
encaustiquèrent	a~kostikER
encaustiqué	a~kostike
encaustiquée	a~kostike
encaustiquées	a~kostike
encaustiqués	a~kostike
enceinte	a~se~t
enceintes	a~se~t
encens	a~sa~
encensa	a~sa~sa
encensai	a~sa~se
encensaient	a~sa~sE
encensais	a~sa~sE
encensait	a~sa~sE
encensant	a~sa~sa~
encensas	a~sa~sa
encensasse	a~sa~sas
encensassent	a~sa~sas
encensasses	a~sa~sas
encensassiez	a~sa~sasje
encensassions	a~sa~sasjo~
encense	a~sa~s
encensent	a~sa~s
encenser	a~sa~se
encensera	a~sa~s@Ra
encenserai	a~sa~s@Re
encenseraient	a~sa~s@RE
encenserais	a~sa~s@RE
encenserait	a~sa~s@RE
encenseras	a~sa~s@Ra
encenserez	a~sa~s@Re
encenseriez	a~sa~s@Rje
encenserions	a~sa~s@Rjo~
encenserons	a~sa~s@Ro~
encenseront	a~sa~s@Ro~
encenses	a~sa~s
encensez	a~sa~se
encensiez	a~sa~sje
encensions	a~sa~sjo~
encensoir	a~sa~swaR
encensoirs	a~sa~swaR
encensons	a~sa~so~
encensâmes	a~sa~sam
encensât	a~sa~sa
encensâtes	a~sa~sat
encensèrent	a~sa~sER
encensé	a~sa~se
encensée	a~sa~se
encensées	a~sa~se
encensés	a~sa~se
encercla	a~sERkla
encerclai	a~sERkle
encerclaient	a~sERklE
encerclais	a~sERklE
encerclait	a~sERklE
encerclant	a~sERkla~
encerclas	a~sERkla
encerclasse	a~sERklas
encerclassent	a~sERklas
encerclasses	a~sERklas
encerclassiez	a~sERklasje
encerclassions	a~sERklasjo~
encercle	a~sERkl
encerclement	a~sERkl@ma~
encerclements	a~sERkl@ma~
encerclent	a~sERkl
encercler	a~sERkle
encerclera	a~sERkl@Ra
encerclerai	a~sERkl@Re
encercleraient	a~sERkl@RE
encerclerais	a~sERkl@RE
encerclerait	a~sERkl@RE
encercleras	a~sERkl@Ra
encerclerez	a~sERkl@Re
encercleriez	a~sERkl@Rje
encerclerions	a~sERkl@Rjo~
encerclerons	a~sERkl@Ro~
encercleront	a~sERkl@Ro~
encercles	a~sERkl
encerclez	a~sERkle
encercliez	a~sERklije
encerclions	a~sERklijo~
encerclons	a~sERklo~
encerclâmes	a~sERklam
encerclât	a~sERkla
encerclâtes	a~sERklat
encerclèrent	a~sERklER
encerclé	a~sERkle
encerclée	a~sERkle
encerclées	a~sERkle
encerclés	a~sERkle
enchanta	a~Sa~ta
enchantai	a~Sa~te
enchantaient	a~Sa~tE
enchantais	a~Sa~tE
enchantait	a~Sa~tE
enchantant	a~Sa~ta~
enchantas	a~Sa~ta
enchantasse	a~Sa~tas
enchantassent	a~Sa~tas
enchantasses	a~Sa~tas
enchantassiez	a~Sa~tasje
enchantassions	a~Sa~tasjo~
enchante	a~Sa~t
enchantement	a~Sa~t@ma~
enchantements	a~Sa~t@ma~
enchantent	a~Sa~t
enchanter	a~Sa~te
enchantera	a~Sa~t@Ra
enchanterai	a~Sa~t@Re
enchanteraient	a~Sa~t@RE
enchanterais	a~Sa~t@RE
enchanterait	a~Sa~t@RE
enchanteras	a~Sa~t@Ra
enchanteresse	a~Sa~t@REs
enchanterez	a~Sa~t@Re
enchanteriez	a~Sa~t@Rje
enchanterions	a~Sa~t@Rjo~
enchanterons	a~Sa~t@Ro~
enchanteront	a~Sa~t@Ro~
enchantes	a~Sa~t
enchanteur	a~Sa~t9R
enchanteurs	a~Sa~t9R
enchanteuses	a~Sa~t2z
enchantez	a~Sa~te
enchantiez	a~Sa~tje
enchantions	a~Sa~tjo~
enchantons	a~Sa~to~
enchantâmes	a~Sa~tam
enchantât	a~Sa~ta
enchantâtes	a~Sa~tat
enchantèrent	a~Sa~tER
enchanté	a~Sa~te
enchantée	a~Sa~te
enchantées	a~Sa~te
enchantés	a~Sa~te
enchaîna	a~Sena
enchaînai	a~Sene
enchaînaient	a~SenE
enchaînais	a~SenE
enchaînait	a~SenE
enchaînant	a~Sena~
enchaînas	a~Sena
enchaînasse	a~Senas
enchaînassent	a~Senas
enchaînasses	a~Senas
enchaînassiez	a~Senasje
enchaînassions	a~Senasjo~
enchaîne	a~SEn
enchaînement	a~SEn@ma~
enchaînements	a~SEn@ma~
enchaînent	a~SEn
enchaîner	a~Sene
enchaînera	a~Sen@Ra
enchaînerai	a~Sen@Re
enchaîneraient	a~Sen@RE
enchaînerais	a~Sen@RE
enchaînerait	a~Sen@RE
enchaîneras	a~Sen@Ra
enchaînerez	a~Sen@Re
enchaîneriez	a~Sen@Rje
enchaînerions	a~Sen@Rjo~
enchaînerons	a~Sen@Ro~
enchaîneront	a~Sen@Ro~
enchaînes	a~SEn
enchaînez	a~Sene
enchaîniez	a~Senje
enchaînions	a~Senjo~
enchaînons	a~Seno~
enchaînâmes	a~Senam
enchaînât	a~Sena
enchaînâtes	a~Senat
enchaînèrent	a~SenER
enchaîné	a~Sene
enchaînée	a~Sene
enchaînées	a~Sene
enchaînés	a~Sene
enchevêtra	a~S@vEtRa
enchevêtrai	a~S@vEtRe
enchevêtraient	a~S@vEtRE
enchevêtrais	a~S@vEtRE
enchevêtrait	a~S@vEtRE
enchevêtrant	a~S@vEtRa~
enchevêtras	a~S@vEtRa
enchevêtrasse	a~S@vEtRas
enchevêtrassent	a~S@vEtRas
enchevêtrasses	a~S@vEtRas
enchevêtrassiez	a~S@vEtRasje
enchevêtrassions	a~S@vEtRasjo~
enchevêtre	a~S@vEtR
enchevêtrement	a~S@vEtR@ma~
enchevêtrements	a~S@vEtR@ma~
enchevêtrent	a~S@vEtR
enchevêtrer	a~S@vEtRe
enchevêtrera	a~S@vEtR@Ra
enchevêtrerai	a~S@vEtR@Re
enchevêtreraient	a~S@vEtR@RE
enchevêtrerais	a~S@vEtR@RE
enchevêtrerait	a~S@vEtR@RE
enchevêtreras	a~S@vEtR@Ra
enchevêtrerez	a~S@vEtR@Re
enchevêtreriez	a~S@vEtR@Rje
enchevêtrerions	a~S@vEtR@Rjo~
enchevêtrerons	a~S@vEtR@Ro~
enchevêtreront	a~S@vEtR@Ro~
enchevêtres	a~S@vEtR
enchevêtrez	a~S@vEtRe
enchevêtriez	a~S@vEtRije
enchevêtrions	a~S@vEtRijo~
enchevêtrons	a~S@vEtRo~
enchevêtrâmes	a~S@vEtRam
enchevêtrât	a~S@vEtRa
enchevêtrâtes	a~S@vEtRat
enchevêtrèrent	a~S@vEtRER
enchevêtré	a~S@vEtRe
enchevêtrée	a~S@vEtRe
enchevêtrées	a~S@vEtRe
enchevêtrés	a~S@vEtRe
enchâssa	a~Sasa
enchâssai	a~Sase
enchâssaient	a~SasE
enchâssais	a~SasE
enchâssait	a~SasE
enchâssant	a~Sasa~
enchâssas	a~Sasa
enchâssasse	a~Sasas
enchâssassent	a~Sasas
enchâssasses	a~Sasas
enchâssassiez	a~Sasasje
enchâssassions	a~Sasasjo~
enchâsse	a~Sas
enchâssement	a~Sas@ma~
enchâssements	a~Sas@ma~
enchâssent	a~Sas
enchâsser	a~Sase
enchâssera	a~Sas@Ra
enchâsserai	a~Sas@Re
enchâsseraient	a~Sas@RE
enchâsserais	a~Sas@RE
enchâsserait	a~Sas@RE
enchâsseras	a~Sas@Ra
enchâsserez	a~Sas@Re
enchâsseriez	a~Sas@Rje
enchâsserions	a~Sas@Rjo~
enchâsserons	a~Sas@Ro~
enchâsseront	a~Sas@Ro~
enchâsses	a~Sas
enchâssez	a~Sase
enchâssiez	a~Sasje
enchâssions	a~Sasjo~
enchâssons	a~Saso~
enchâssâmes	a~Sasam
enchâssât	a~Sasa
enchâssâtes	a~Sasat
enchâssèrent	a~SasER
enchâssé	a~Sase
enchâssée	a~Sase
enchâssées	a~Sase
enchâssés	a~Sase
enchère	a~SER
enchères	a~SER
enclava	a~klava
enclavai	a~klave
enclavaient	a~klavE
enclavais	a~klavE
enclavait	a~klavE
enclavant	a~klava~
enclavas	a~klava
enclavasse	a~klavas
enclavassent	a~klavas
enclavasses	a~klavas
enclavassiez	a~klavasje
enclavassions	a~klavasjo~
enclave	a~klav
enclavent	a~klav
enclaver	a~klave
enclavera	a~klav@Ra
enclaverai	a~klav@Re
enclaveraient	a~klav@RE
enclaverais	a~klav@RE
enclaverait	a~klav@RE
enclaveras	a~klav@Ra
enclaverez	a~klav@Re
enclaveriez	a~klav@Rje
enclaverions	a~klav@Rjo~
enclaverons	a~klav@Ro~
enclaveront	a~klav@Ro~
enclaves	a~klav
enclavez	a~klave
enclaviez	a~klavje
enclavions	a~klavjo~
enclavons	a~klavo~
enclavâmes	a~klavam
enclavât	a~klava
enclavâtes	a~klavat
enclavèrent	a~klavER
enclavé	a~klave
enclavée	a~klave
enclavées	a~klave
enclavés	a~klave
enclencha	a~kla~Sa
enclenchai	a~kla~Se
enclenchaient	a~kla~SE
enclenchais	a~kla~SE
enclenchait	a~kla~SE
enclenchant	a~kla~Sa~
enclenchas	a~kla~Sa
enclenchasse	a~kla~Sas
enclenchassent	a~kla~Sas
enclenchasses	a~kla~Sas
enclenchassiez	a~kla~Sasje
enclenchassions	a~kla~Sasjo~
enclenche	a~kla~S
enclenchement	a~kla~S@ma~
enclenchements	a~kla~S@ma~
enclenchent	a~kla~S
enclencher	a~kla~Se
enclenchera	a~kla~S@Ra
enclencherai	a~kla~S@Re
enclencheraient	a~kla~S@RE
enclencherais	a~kla~S@RE
enclencherait	a~kla~S@RE
enclencheras	a~kla~S@Ra
enclencherez	a~kla~S@Re
enclencheriez	a~kla~S@Rje
enclencherions	a~kla~S@Rjo~
enclencherons	a~kla~S@Ro~
enclencheront	a~kla~S@Ro~
enclenches	a~kla~S
enclenchez	a~kla~Se
enclenchiez	a~kla~Sje
enclenchions	a~kla~Sjo~
enclenchons	a~kla~So~
enclenchâmes	a~kla~Sam
enclenchât	a~kla~Sa
enclenchâtes	a~kla~Sat
enclenchèrent	a~kla~SER
enclenché	a~kla~Se
enclenchée	a~kla~Se
enclenchées	a~kla~Se
enclenchés	a~kla~Se
enclin	a~kle~
encline	a~klin
enclines	a~klin
enclins	a~kle~
enclorai	a~klORe
enclorais	a~klORE
enclore	a~klOR
enclos	a~klo
enclose	a~kloz
enclosent	a~kloz
encloses	a~kloz
enclume	a~klym
enclumes	a~klym
enclôt	a~klo
encoche	a~kOS
encoches	a~kOS
encodage	a~kOdaZ
encodages	a~kOdaZ
encoignure	a~kOnjyR
encoignures	a~kOnjyR
encolla	a~kOla
encollai	a~kOle
encollaient	a~kOlE
encollais	a~kOlE
encollait	a~kOlE
encollant	a~kOla~
encollas	a~kOla
encollasse	a~kOlas
encollassent	a~kOlas
encollasses	a~kOlas
encollassiez	a~kOlasje
encollassions	a~kOlasjo~
encolle	a~kOl
encollent	a~kOl
encoller	a~kOle
encollera	a~kOl@Ra
encollerai	a~kOl@Re
encolleraient	a~kOl@RE
encollerais	a~kOl@RE
encollerait	a~kOl@RE
encolleras	a~kOl@Ra
encollerez	a~kOl@Re
encolleriez	a~kOl@Rje
encollerions	a~kOl@Rjo~
encollerons	a~kOl@Ro~
encolleront	a~kOl@Ro~
encolles	a~kOl
encollez	a~kOle
encolliez	a~kOlje
encollions	a~kOljo~
encollons	a~kOlo~
encollâmes	a~kOlam
encollât	a~kOla
encollâtes	a~kOlat
encollèrent	a~kOlER
encollé	a~kOle
encollée	a~kOle
encollées	a~kOle
encollés	a~kOle
encolure	a~kOlyR
encolures	a~kOlyR
encombra	a~ko~bRa
encombrai	a~ko~bRe
encombraient	a~ko~bRE
encombrais	a~ko~bRE
encombrait	a~ko~bRE
encombrant	a~ko~bRa~
encombrante	a~ko~bRa~t
encombrantes	a~ko~bRa~t
encombrants	a~ko~bRa~
encombras	a~ko~bRa
encombrasse	a~ko~bRas
encombrassent	a~ko~bRas
encombrasses	a~ko~bRas
encombrassiez	a~ko~bRasje
encombrassions	a~ko~bRasjo~
encombre	a~ko~bR
encombrement	a~ko~bR@ma~
encombrements	a~ko~bR@ma~
encombrent	a~ko~bR
encombrer	a~ko~bRe
encombrera	a~ko~bR@Ra
encombrerai	a~ko~bR@Re
encombreraient	a~ko~bR@RE
encombrerais	a~ko~bR@RE
encombrerait	a~ko~bR@RE
encombreras	a~ko~bR@Ra
encombrerez	a~ko~bR@Re
encombreriez	a~ko~bR@Rje
encombrerions	a~ko~bR@Rjo~
encombrerons	a~ko~bR@Ro~
encombreront	a~ko~bR@Ro~
encombres	a~ko~bR
encombrez	a~ko~bRe
encombriez	a~ko~bRije
encombrions	a~ko~bRijo~
encombrons	a~ko~bRo~
encombrâmes	a~ko~bRam
encombrât	a~ko~bRa
encombrâtes	a~ko~bRat
encombrèrent	a~ko~bRER
encombré	a~ko~bRe
encombrée	a~ko~bRe
encombrées	a~ko~bRe
encombrés	a~ko~bRe
encore	a~kOR
encourage	a~kuRaZ
encouragea	a~kuRaZa
encourageai	a~kuRaZe
encourageaient	a~kuRaZE
encourageais	a~kuRaZE
encourageait	a~kuRaZE
encourageant	a~kuRaZa~
encourageante	a~kuRaZa~t
encourageantes	a~kuRaZa~t
encourageants	a~kuRaZa~
encourageas	a~kuRaZa
encourageasse	a~kuRaZas
encourageassent	a~kuRaZas
encourageasses	a~kuRaZas
encourageassiez	a~kuRaZasje
encourageassions	a~kuRaZasjo~
encouragement	a~kuRaZ@ma~
encouragements	a~kuRaZ@ma~
encouragent	a~kuRaZ
encourageons	a~kuRaZo~
encourager	a~kuRaZe
encouragera	a~kuRaZ@Ra
encouragerai	a~kuRaZ@Re
encourageraient	a~kuRaZ@RE
encouragerais	a~kuRaZ@RE
encouragerait	a~kuRaZ@RE
encourageras	a~kuRaZ@Ra
encouragerez	a~kuRaZ@Re
encourageriez	a~kuRaZ@Rje
encouragerions	a~kuRaZ@Rjo~
encouragerons	a~kuRaZ@Ro~
encourageront	a~kuRaZ@Ro~
encourages	a~kuRaZ
encouragez	a~kuRaZe
encourageâmes	a~kuRaZam
encourageât	a~kuRaZa
encourageâtes	a~kuRaZat
encouragiez	a~kuRaZje
encouragions	a~kuRaZjo~
encouragèrent	a~kuRaZER
encouragé	a~kuRaZe
encouragée	a~kuRaZe
encouragées	a~kuRaZe
encouragés	a~kuRaZe
encouraient	a~kuRE
encourais	a~kuRE
encourait	a~kuRE
encourant	a~kuRa~
encoure	a~kuR
encourent	a~kuR
encoures	a~kuR
encourez	a~kuRe
encouriez	a~kuRje
encourions	a~kuRjo~
encourir	a~kuRiR
encourons	a~kuRo~
encourra	a~kuRa
encourrai	a~kuRe
encourraient	a~kuRE
encourrais	a~kuRE
encourrait	a~kuRE
encourras	a~kuRa
encourrez	a~kuRe
encourriez	a~kuRje
encourrions	a~kuRjo~
encourrons	a~kuRo~
encourront	a~kuRo~
encours	a~kuR
encourt	a~kuR
encouru	a~kuRy
encourue	a~kuRy
encourues	a~kuRy
encoururent	a~kuRyR
encourus	a~kuRy
encourusse	a~kuRys
encourussent	a~kuRys
encourusses	a~kuRys
encourussiez	a~kuRysje
encourussions	a~kuRysjo~
encourut	a~kuRy
encourûmes	a~kuRym
encourût	a~kuRy
encourûtes	a~kuRyt
encra	a~kRa
encrai	a~kRe
encraient	a~kRE
encrais	a~kRE
encrait	a~kRE
encrant	a~kRa~
encras	a~kRa
encrassa	a~kRasa
encrassai	a~kRase
encrassaient	a~kRasE
encrassais	a~kRasE
encrassait	a~kRasE
encrassant	a~kRasa~
encrassas	a~kRasa
encrassasse	a~kRasas
encrassassent	a~kRasas
encrassasses	a~kRasas
encrassassiez	a~kRasasje
encrassassions	a~kRasasjo~
encrasse	a~kRas
encrassent	a~kRas
encrasser	a~kRase
encrassera	a~kRas@Ra
encrasserai	a~kRas@Re
encrasseraient	a~kRas@RE
encrasserais	a~kRas@RE
encrasserait	a~kRas@RE
encrasseras	a~kRas@Ra
encrasserez	a~kRas@Re
encrasseriez	a~kRas@Rje
encrasserions	a~kRas@Rjo~
encrasserons	a~kRas@Ro~
encrasseront	a~kRas@Ro~
encrasses	a~kRas
encrassez	a~kRase
encrassiez	a~kRasje
encrassions	a~kRasjo~
encrassons	a~kRaso~
encrassâmes	a~kRasam
encrassât	a~kRasa
encrassâtes	a~kRasat
encrassèrent	a~kRasER
encrassé	a~kRase
encrassée	a~kRase
encrassées	a~kRase
encrassés	a~kRase
encre	a~kR
encrent	a~kR
encrer	a~kRe
encrera	a~kR@Ra
encrerai	a~kR@Re
encreraient	a~kR@RE
encrerais	a~kR@RE
encrerait	a~kR@RE
encreras	a~kR@Ra
encrerez	a~kR@Re
encreriez	a~kR@Rje
encrerions	a~kR@Rjo~
encrerons	a~kR@Ro~
encreront	a~kR@Ro~
encres	a~kR
encrez	a~kRe
encrier	a~kRije
encriers	a~kRije
encriez	a~kRije
encrions	a~kRijo~
encrons	a~kRo~
encrâmes	a~kRam
encrât	a~kRa
encrâtes	a~kRat
encrèrent	a~kRER
encré	a~kRe
encrée	a~kRe
encrées	a~kRe
encrés	a~kRe
encyclique	a~siklik
encycliques	a~siklik
encyclopédie	a~siklOpedi
encyclopédies	a~siklOpedi
encyclopédique	a~siklOpedik
encyclopédiques	a~siklOpedik
encéphalite	a~sefalit
encéphalites	a~sefalit
encéphalopathie	a~sefalopati
encéphalopathies	a~sefalopati
endetta	a~deta
endettai	a~dete
endettaient	a~detE
endettais	a~detE
endettait	a~detE
endettant	a~deta~
endettas	a~deta
endettasse	a~detas
endettassent	a~detas
endettasses	a~detas
endettassiez	a~detasje
endettassions	a~detasjo~
endette	a~dEt
endettement	a~dEt@ma~
endettements	a~dEt@ma~
endettent	a~dEt
endetter	a~dete
endettera	a~det@Ra
endetterai	a~det@Re
endetteraient	a~det@RE
endetterais	a~det@RE
endetterait	a~det@RE
endetteras	a~det@Ra
endetterez	a~det@Re
endetteriez	a~det@Rje
endetterions	a~det@Rjo~
endetterons	a~det@Ro~
endetteront	a~det@Ro~
endettes	a~dEt
endettez	a~dete
endettiez	a~detje
endettions	a~detjo~
endettons	a~deto~
endettâmes	a~detam
endettât	a~deta
endettâtes	a~detat
endettèrent	a~detER
endetté	a~dete
endettée	a~dete
endettées	a~dete
endettés	a~dete
endiablé	a~djable
endiablée	a~djable
endiablées	a~djable
endiablés	a~djable
endigua	a~diga
endiguai	a~dige
endiguaient	a~digE
endiguais	a~digE
endiguait	a~digE
endiguant	a~diga~
endiguas	a~diga
endiguasse	a~digas
endiguassent	a~digas
endiguasses	a~digas
endiguassiez	a~digasje
endiguassions	a~digasjo~
endigue	a~dig
endiguement	a~dig@ma~
endiguements	a~dig@ma~
endiguent	a~dig
endiguer	a~dige
endiguera	a~dig@Ra
endiguerai	a~dig@Re
endigueraient	a~dig@RE
endiguerais	a~dig@RE
endiguerait	a~dig@RE
endigueras	a~dig@Ra
endiguerez	a~dig@Re
endigueriez	a~dig@Rje
endiguerions	a~dig@Rjo~
endiguerons	a~dig@Ro~
endigueront	a~dig@Ro~
endigues	a~dig
endiguez	a~dige
endiguiez	a~digje
endiguions	a~digjo~
endiguons	a~digo~
endiguâmes	a~digam
endiguât	a~diga
endiguâtes	a~digat
endiguèrent	a~digER
endigué	a~dige
endiguée	a~dige
endiguées	a~dige
endigués	a~dige
endive	a~div
endives	a~div
endoctrina	a~dOktRina
endoctrinai	a~dOktRine
endoctrinaient	a~dOktRinE
endoctrinais	a~dOktRinE
endoctrinait	a~dOktRinE
endoctrinant	a~dOktRina~
endoctrinas	a~dOktRina
endoctrinasse	a~dOktRinas
endoctrinassent	a~dOktRinas
endoctrinasses	a~dOktRinas
endoctrinassiez	a~dOktRinasje
endoctrinassions	a~dOktRinasjo~
endoctrine	a~dOktRin
endoctrinement	a~dOktRin@ma~
endoctrinements	a~dOktRin@ma~
endoctrinent	a~dOktRin
endoctriner	a~dOktRine
endoctrinera	a~dOktRin@Ra
endoctrinerai	a~dOktRin@Re
endoctrineraient	a~dOktRin@RE
endoctrinerais	a~dOktRin@RE
endoctrinerait	a~dOktRin@RE
endoctrineras	a~dOktRin@Ra
endoctrinerez	a~dOktRin@Re
endoctrineriez	a~dOktRin@Rje
endoctrinerions	a~dOktRin@Rjo~
endoctrinerons	a~dOktRin@Ro~
endoctrineront	a~dOktRin@Ro~
endoctrines	a~dOktRin
endoctrinez	a~dOktRine
endoctriniez	a~dOktRinje
endoctrinions	a~dOktRinjo~
endoctrinons	a~dOktRino~
endoctrinâmes	a~dOktRinam
endoctrinât	a~dOktRina
endoctrinâtes	a~dOktRinat
endoctrinèrent	a~dOktRinER
endoctriné	a~dOktRine
endoctrinée	a~dOktRine
endoctrinées	a~dOktRine
endoctrinés	a~dOktRine
endolori	a~dOlORi
endolorie	a~dOlORi
endolories	a~dOlORi
endoloris	a~dOlORi
endommage	a~dOmaZ
endommagea	a~dOmaZa
endommageai	a~dOmaZe
endommageaient	a~dOmaZE
endommageais	a~dOmaZE
endommageait	a~dOmaZE
endommageant	a~dOmaZa~
endommageas	a~dOmaZa
endommageasse	a~dOmaZas
endommageassent	a~dOmaZas
endommageasses	a~dOmaZas
endommageassiez	a~dOmaZasje
endommageassions	a~dOmaZasjo~
endommagent	a~dOmaZ
endommageons	a~dOmaZo~
endommager	a~dOmaZe
endommagera	a~dOmaZ@Ra
endommagerai	a~dOmaZ@Re
endommageraient	a~dOmaZ@RE
endommagerais	a~dOmaZ@RE
endommagerait	a~dOmaZ@RE
endommageras	a~dOmaZ@Ra
endommagerez	a~dOmaZ@Re
endommageriez	a~dOmaZ@Rje
endommagerions	a~dOmaZ@Rjo~
endommagerons	a~dOmaZ@Ro~
endommageront	a~dOmaZ@Ro~
endommages	a~dOmaZ
endommagez	a~dOmaZe
endommageâmes	a~dOmaZam
endommageât	a~dOmaZa
endommageâtes	a~dOmaZat
endommagiez	a~dOmaZje
endommagions	a~dOmaZjo~
endommagèrent	a~dOmaZER
endommagé	a~dOmaZe
endommagée	a~dOmaZe
endommagées	a~dOmaZe
endommagés	a~dOmaZe
endormaient	a~dORmE
endormais	a~dORmE
endormait	a~dORmE
endormant	a~dORma~
endorme	a~dORm
endorment	a~dORm
endormes	a~dORm
endormez	a~dORme
endormi	a~dORmi
endormie	a~dORmi
endormies	a~dORmi
endormiez	a~dORmje
endormions	a~dORmjo~
endormir	a~dORmiR
endormira	a~dORmiRa
endormirai	a~dORmiRe
endormiraient	a~dORmiRE
endormirais	a~dORmiRE
endormirait	a~dORmiRE
endormiras	a~dORmiRa
endormirent	a~dORmiR
endormirez	a~dORmiRe
endormiriez	a~dORmiRje
endormirions	a~dORmiRjo~
endormirons	a~dORmiRo~
endormiront	a~dORmiRo~
endormis	a~dORmi
endormisse	a~dORmis
endormissent	a~dORmis
endormisses	a~dORmis
endormissiez	a~dORmisje
endormissions	a~dORmisjo~
endormit	a~dORmi
endormons	a~dORmo~
endormîmes	a~dORmim
endormît	a~dORmi
endormîtes	a~dORmit
endors	a~dOR
endort	a~dOR
endossa	a~dosa
endossable	a~dosabl
endossables	a~dosabl
endossai	a~dose
endossaient	a~dosE
endossais	a~dosE
endossait	a~dosE
endossant	a~dosa~
endossas	a~dosa
endossasse	a~dosas
endossassent	a~dosas
endossasses	a~dosas
endossassiez	a~dosasje
endossassions	a~dosasjo~
endosse	a~dos
endossent	a~dos
endosser	a~dose
endossera	a~dos@Ra
endosserai	a~dos@Re
endosseraient	a~dos@RE
endosserais	a~dos@RE
endosserait	a~dos@RE
endosseras	a~dos@Ra
endosserez	a~dos@Re
endosseriez	a~dos@Rje
endosserions	a~dos@Rjo~
endosserons	a~dos@Ro~
endosseront	a~dos@Ro~
endosses	a~dos
endossez	a~dose
endossiez	a~dosje
endossions	a~dosjo~
endossons	a~doso~
endossâmes	a~dosam
endossât	a~dosa
endossâtes	a~dosat
endossèrent	a~dosER
endossé	a~dose
endossée	a~dose
endossées	a~dose
endossés	a~dose
endroit	a~dRwa
endroits	a~dRwa
enduira	a~dHiRa
enduirai	a~dHiRe
enduiraient	a~dHiRE
enduirais	a~dHiRE
enduirait	a~dHiRE
enduiras	a~dHiRa
enduire	a~dHiR
enduirez	a~dHiRe
enduiriez	a~dHiRje
enduirions	a~dHiRjo~
enduirons	a~dHiRo~
enduiront	a~dHiRo~
enduis	a~dHi
enduisaient	a~dHizE
enduisais	a~dHizE
enduisait	a~dHizE
enduisant	a~dHiza~
enduise	a~dHiz
enduisent	a~dHiz
enduises	a~dHiz
enduisez	a~dHize
enduisiez	a~dHizje
enduisions	a~dHizjo~
enduisirent	a~dHiziR
enduisis	a~dHizi
enduisisse	a~dHizis
enduisissent	a~dHizis
enduisisses	a~dHizis
enduisissiez	a~dHizisje
enduisissions	a~dHizisjo~
enduisit	a~dHizi
enduisons	a~dHizo~
enduisîmes	a~dHizim
enduisît	a~dHizi
enduisîtes	a~dHizit
enduit	a~dHi
enduite	a~dHit
enduites	a~dHit
enduits	a~dHi
endura	a~dyRa
endurai	a~dyRe
enduraient	a~dyRE
endurais	a~dyRE
endurait	a~dyRE
endurance	a~dyRa~s
endurances	a~dyRa~s
endurant	a~dyRa~
endurante	a~dyRa~t
endurantes	a~dyRa~t
endurants	a~dyRa~
enduras	a~dyRa
endurasse	a~dyRas
endurassent	a~dyRas
endurasses	a~dyRas
endurassiez	a~dyRasje
endurassions	a~dyRasjo~
endurci	a~dyRsi
endurcie	a~dyRsi
endurcies	a~dyRsi
endurcir	a~dyRsiR
endurcira	a~dyRsiRa
endurcirai	a~dyRsiRe
endurciraient	a~dyRsiRE
endurcirais	a~dyRsiRE
endurcirait	a~dyRsiRE
endurciras	a~dyRsiRa
endurcirent	a~dyRsiR
endurcirez	a~dyRsiRe
endurciriez	a~dyRsiRje
endurcirions	a~dyRsiRjo~
endurcirons	a~dyRsiRo~
endurciront	a~dyRsiRo~
endurcis	a~dyRsi
endurcissaient	a~dyRsisE
endurcissais	a~dyRsisE
endurcissait	a~dyRsisE
endurcissant	a~dyRsisa~
endurcisse	a~dyRsis
endurcissent	a~dyRsis
endurcisses	a~dyRsis
endurcissez	a~dyRsise
endurcissiez	a~dyRsisje
endurcissions	a~dyRsisjo~
endurcissons	a~dyRsiso~
endurcit	a~dyRsi
endurcîmes	a~dyRsim
endurcît	a~dyRsi
endurcîtes	a~dyRsit
endure	a~dyR
endurent	a~dyR
endurer	a~dyRe
endurera	a~dyR@Ra
endurerai	a~dyR@Re
